SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-25-2019,Single Family Residential,870 Kansas St,San Francisco,CA,94107,2450000,4,3.0,Potrero Hill,,2500,,59,,,Sold,,,http://www.redfin.com/CA/San-Francisco/870-Kansas-St-94107/home/1264073,San Francisco MLS,481809,N,Y,37.7585566,-122.4033442
PAST SALE,March-22-2019,Single Family Residential,862 Wisconsin St,San Francisco,CA,94107,2225000,4,2.0,Potrero Hill,2485,2500,1900,34,895,,Sold,,,http://www.redfin.com/CA/San-Francisco/862-Wisconsin-St-94107/home/1906164,San Francisco MLS,481057,N,Y,37.7564223,-122.3991402
PAST SALE,April-25-2019,Single Family Residential,10 Presidio Ter,San Francisco,CA,94118,9900000,5,4.0,Presidio Heights,5870,8108,1909,1,1687,,Sold,,,http://www.redfin.com/CA/San-Francisco/10-Presidio-Ter-94118/home/1499677,San Francisco MLS,483593,N,Y,37.7890233,-122.4614745
PAST SALE,February-8-2019,Single Family Residential,611 Campbell Ave,San Francisco,CA,94134,927500,3,2.0,Visitacion Valley,1020,1873,1952,76,909,,Sold,,,http://www.redfin.com/CA/San-Francisco/611-Campbell-Ave-94134/home/785344,San Francisco MLS,479454,N,Y,37.7157661,-122.4086874
PAST SALE,March-11-2019,Single Family Residential,2610 47th Ave,San Francisco,CA,94116,1150000,3,2.0,Outer Parkside,,,1944,45,,,Sold,,,http://www.redfin.com/CA/San-Francisco/2610-47th-Ave-94116/home/1943838,San Francisco MLS,481038,N,Y,37.7377403,-122.505216
PAST SALE,April-4-2019,Single Family Residential,2067 42nd Ave,San Francisco,CA,94116,1400000,4,2.0,Outer Parkside,1617,3000,1947,21,866,,Sold,,,http://www.redfin.com/CA/San-Francisco/2067-42nd-Ave-94116/home/1894832,San Francisco MLS,482219,N,Y,37.7481804,-122.5009949
PAST SALE,February-15-2019,Single Family Residential,3242 Washington St,San Francisco,CA,94115,4450000,6,4.5,Pacific Heights,5170,3502,1893,69,861,,Sold,,,http://www.redfin.com/CA/San-Francisco/3242-Washington-St-94115/home/588415,San Francisco MLS,476956,N,Y,37.7902848,-122.4467459
PAST SALE,April-9-2019,Single Family Residential,3367 Washington St,San Francisco,CA,94118,8000000,5,4.5,Presidio Heights,5817,3502,1902,16,1375,,Sold,,,http://www.redfin.com/CA/San-Francisco/3367-Washington-St-94118/home/1898846,San Francisco MLS,479833,N,Y,37.789584,-122.4483273
PAST SALE,April-24-2019,Single Family Residential,730 Cabrillo St,San Francisco,CA,94118,3175000,4,4.5,Inner Richmond,2977,2596,1900,1,1067,,Sold,,,http://www.redfin.com/CA/San-Francisco/730-Cabrillo-St-94118/home/1341894,San Francisco MLS,482705,N,Y,37.775494,-122.466565
PAST SALE,February-21-2019,Single Family Residential,136 Stonecrest Dr,San Francisco,CA,94132,1860000,3,2.0,Lakeside,2285,6629,1953,63,814,,Sold,,,http://www.redfin.com/CA/San-Francisco/136-Stonecrest-Dr-94132/home/837207,San Francisco MLS,480030,N,Y,37.7280499,-122.4743659
PAST SALE,March-5-2019,Single Family Residential,535 Urbano Dr,San Francisco,CA,94127,1898000,4,2.0,Ingleside Terrace,2375,5998,1923,51,799,,Sold,,,http://www.redfin.com/CA/San-Francisco/535-Urbano-Dr-94127/home/1085344,San Francisco MLS,480902,N,Y,37.7235628,-122.4668701
PAST SALE,April-17-2019,Single Family Residential,425 Monticello St,San Francisco,CA,94127,1840000,4,2.5,Ingleside Terr,3105,6000,1924,8,593,0,Sold,,,http://www.redfin.com/CA/San-Francisco/425-Monticello-St-94127/home/1972143,Bridge MLS,40857068,N,Y,37.7221882,-122.4708502
PAST SALE,April-23-2019,Single Family Residential,19 Pinehurst Way,San Francisco,CA,94127,1650000,3,4.0,Mount Davidson Manor,3100,3384,1928,2,532,,Sold,,,http://www.redfin.com/CA/San-Francisco/19-Pinehurst-Way-94127/home/1855060,San Francisco MLS,482344,N,Y,37.727251,-122.4658971
PAST SALE,April-3-2019,Single Family Residential,7 Winfield St,San Francisco,CA,94110,1412000,3,2.0,Bernal Heights,1547,1751,1916,22,913,,Sold,,,http://www.redfin.com/CA/San-Francisco/7-Winfield-St-94110/home/1122330,San Francisco MLS,480481,N,Y,37.7451393,-122.4167405
PAST SALE,April-24-2019,Single Family Residential,135 Sea Cliff Ave,San Francisco,CA,94121,5500000,3,3.0,Sea Cliff,3085,3500,1961,1,1783,,Sold,,,http://www.redfin.com/CA/San-Francisco/135-Sea-Cliff-Ave-94121/home/1969272,San Francisco MLS,482947,N,Y,37.7885245,-122.4874767
PAST SALE,February-8-2019,Single Family Residential,320 Sea Cliff Ave,San Francisco,CA,94121,11700000,4,4.5,Sea Cliff,5200,6973,1926,76,2250,,Sold,,,http://www.redfin.com/CA/San-Francisco/320-Sea-Cliff-Ave-94121/home/1278694,San Francisco MLS,472538,N,Y,37.7883364,-122.489776
PAST SALE,February-20-2019,Single Family Residential,643 33rd Ave,San Francisco,CA,94121,2100000,4,2.5,Outer Richmond,,,,64,,,Sold,,,http://www.redfin.com/CA/San-Francisco/643-33rd-Ave-94121/home/2021234,San Francisco MLS,480195,N,Y,37.7769526,-122.4933043
PAST SALE,March-20-2019,Single Family Residential,495 12th Ave,San Francisco,CA,94118,3000000,5,4.5,Inner Richmond,3090,3371,1916,36,971,,Sold,,,http://www.redfin.com/CA/San-Francisco/495-12th-Ave-94118/home/1385270,San Francisco MLS,480592,N,Y,37.7790037,-122.4708305
PAST SALE,March-22-2019,Single Family Residential,466 32nd Ave,San Francisco,CA,94121,2150000,3,2.5,Central Richmond,1953,3000,1921,34,1101,,Sold,,,http://www.redfin.com/CA/San-Francisco/466-32nd-Ave-94121/home/1051345,San Francisco MLS,481013,N,Y,37.7804476,-122.4920751
PAST SALE,April-2-2019,Single Family Residential,254 11th Ave,San Francisco,CA,94118,3380000,4,3.5,Inner Richmond,2800,3000,1902,23,1207,,Sold,,,http://www.redfin.com/CA/San-Francisco/254-11th-Ave-94118/home/1128325,San Francisco MLS,482075,N,Y,37.7835457,-122.469623
PAST SALE,April-3-2019,Single Family Residential,353 31st Ave,San Francisco,CA,94121,2220000,4,2.5,Central Richmond,2689,4011,1916,22,826,,Sold,,,http://www.redfin.com/CA/San-Francisco/353-31st-Ave-94121/home/606607,San Francisco MLS,481044,N,Y,37.7825634,-122.4915777
PAST SALE,March-20-2019,Single Family Residential,3607 Market St,San Francisco,CA,94131,1500000,3,2.0,Twin Peaks,2353,2722,1929,36,637,,Sold,,,http://www.redfin.com/CA/San-Francisco/3607-Market-St-94131/home/1073030,Bridge MLS,40850892,N,Y,37.756033,-122.4407226
PAST SALE,April-1-2019,Single Family Residential,1222 Shafter Ave,San Francisco,CA,94124,1015000,5,2.5,Bayview,1990,3750,1919,24,510,,Sold,,,http://www.redfin.com/CA/San-Francisco/1222-Shafter-Ave-94124/home/1605692,San Francisco MLS,481981,N,Y,37.7271972,-122.3835951
PAST SALE,April-12-2019,Single Family Residential,33 Samoset St,San Francisco,CA,94110,1760000,3,2.0,Bernal Heights,,1746,1949,13,,,Sold,,,http://www.redfin.com/CA/San-Francisco/33-Samoset-St-94110/home/1479737,San Francisco MLS,482358,N,Y,37.7444194,-122.4083888
PAST SALE,April-16-2019,Single Family Residential,1451 Oakdale Ave,San Francisco,CA,94124,1450000,4,4.0,Bayview,2193,2500,1964,9,661,,Sold,,,http://www.redfin.com/CA/San-Francisco/1451-Oakdale-Ave-94124/home/1203782,San Francisco MLS,481988,N,Y,37.7329122,-122.3877096
PAST SALE,January-31-2019,Single Family Residential,145 Brewster St,San Francisco,CA,94110,1540000,5,3.0,Bernal Heights,2268,1751,1915,84,679,,Sold,,,http://www.redfin.com/CA/San-Francisco/145-Brewster-St-94110/home/1371114,San Francisco MLS,480544,N,Y,37.7444766,-122.4069111
PAST SALE,March-8-2019,Single Family Residential,765 Vermont St,San Francisco,CA,94107,3050000,4,3.0,Potrero Hill,2102,2596,1929,48,1451,,Sold,,,http://www.redfin.com/CA/San-Francisco/765-Vermont-St-94107/home/1510524,San Francisco MLS,481050,N,Y,37.7600218,-122.4037867
PAST SALE,March-22-2019,Single Family Residential,51 Somerset St,SAN FRANCISCO,CA,94134,1680000,4,2.5,SAN FRANCISCO,2081,3497,1949,34,807,,Sold,,,http://www.redfin.com/CA/San-Francisco/51-Somerset-St-94134/home/1759976,MLSListings,ML81738156,N,Y,37.7306951,-122.4090525
PAST SALE,March-26-2019,Single Family Residential,433 Princeton St,San Francisco,CA,94134,1200000,3,2.0,Portola,1226,3000,1949,30,979,,Sold,,,http://www.redfin.com/CA/San-Francisco/433-Princeton-St-94134/home/776494,San Francisco MLS,481471,N,Y,37.7244083,-122.4140857
PAST SALE,March-11-2019,Single Family Residential,2038 20th Ave,SAN FRANCISCO,CA,94116,2100000,4,4.5,SAN FRANCISCO,2246,3000,1929,45,935,,Sold,,,http://www.redfin.com/CA/San-Francisco/2038-20th-Ave-94116/home/648174,MLSListings,ML81738369,N,Y,37.7497192,-122.476986
PAST SALE,March-15-2019,Single Family Residential,94 Midcrest Way,San Francisco,CA,94131,1250000,3,2.0,Midtown Terrace,1350,3955,1953,41,926,,Sold,,,http://www.redfin.com/CA/San-Francisco/94-Midcrest-Way-94131/home/1975910,San Francisco MLS,479326,N,Y,37.7483822,-122.4489907
PAST SALE,March-26-2019,Single Family Residential,1083 Pacheco St,San Francisco,CA,94116,2850000,4,4.0,Golden Gate Heights,2795,3236,1966,30,1020,,Sold,,,http://www.redfin.com/CA/San-Francisco/1083-Pacheco-St-94116/home/981999,San Francisco MLS,480032,N,Y,37.7511217,-122.4715578
PAST SALE,March-27-2019,Single Family Residential,2014 17th Ave,San Francisco,CA,94116,1575000,3,2.0,Inner Parkside,1728,2800,1928,29,911,,Sold,,,http://www.redfin.com/CA/San-Francisco/2014-17th-Ave-94116/home/972037,San Francisco MLS,481231,N,Y,37.7502467,-122.4738242
PAST SALE,February-21-2019,Single Family Residential,2611 Divisadero St,San Francisco,CA,94123,4380000,4,5.5,Pacific Heights,3952,1546,1906,63,1108,,Sold,,,http://www.redfin.com/CA/San-Francisco/2611-Divisadero-St-94123/home/990676,San Francisco MLS,480582,N,Y,37.7938428,-122.4418359
PAST SALE,March-15-2019,Single Family Residential,2536 Greenwich St,San Francisco,CA,94123,8455000,4,6.5,Cow Hollow,6016,4222,1993,41,1405,,Sold,,,http://www.redfin.com/CA/San-Francisco/2536-Greenwich-St-94123/home/582371,San Francisco MLS,480274,N,Y,37.7984402,-122.4415263
PAST SALE,April-5-2019,Single Family Residential,2900 Vallejo,San Francisco,CA,94123,27000000,6,8.5,Pacific Heights,9702,,,20,2783,,Sold,,,http://www.redfin.com/CA/San-Francisco/2900-Vallejo-St-94123/home/1832686,San Francisco MLS,480963,N,Y,37.794171,-122.445242
PAST SALE,February-7-2019,Single Family Residential,417 30th St,San Francisco,CA,94131,4100000,3,3.5,Noe Valley,,,,77,,,Sold,,,http://www.redfin.com/CA/San-Francisco/417-30th-St-94131/home/1753059,San Francisco MLS,480018,N,Y,37.7417617,-122.4297592
PAST SALE,February-21-2019,Single Family Residential,491 27th St,San Francisco,CA,94131,2275000,3,3.0,Noe Valley,2129,2313,1913,63,1069,,Sold,,,http://www.redfin.com/CA/San-Francisco/491-27th-St-94131/home/1891042,San Francisco MLS,480766,N,Y,37.7464663,-122.4310752
PAST SALE,March-18-2019,Single Family Residential,3825 19th St,San Francisco,CA,94114,3500000,4,3.0,Eureka Valley/Dolore,2360,3210,1956,38,1483,,Sold,,,http://www.redfin.com/CA/San-Francisco/3825-19th-St-94114/home/896101,San Francisco MLS,480651,N,Y,37.7595153,-122.4290512
PAST SALE,March-20-2019,Single Family Residential,4148 26th St,San Francisco,CA,94131,2020000,3,2.0,Noe Valley,1430,3419,1912,36,1413,,Sold,,,http://www.redfin.com/CA/San-Francisco/4148-26th-St-94131/home/1257273,San Francisco MLS,480961,N,Y,37.748407,-122.432673
PAST SALE,March-29-2019,Single Family Residential,266 Bemis St,San Francisco,CA,94131,1725000,3,2.5,Glen Park,2198,2700,1987,27,785,,Sold,,,http://www.redfin.com/CA/San-Francisco/266-Bemis-St-94131/home/844957,San Francisco MLS,476434,N,Y,37.7363198,-122.4321922
PAST SALE,April-9-2019,Single Family Residential,757 Athens,San Francisco,CA,94112,925000,3,2.0,Excelsior,1632,2495,1954,16,567,,Sold,,,http://www.redfin.com/CA/San-Francisco/757-Athens-St-94112/home/789901,San Francisco MLS,481179,N,Y,37.7160213,-122.4324023
PAST SALE,April-22-2019,Single Family Residential,1261 Sanchez St,San Francisco,CA,94114,3212000,3,3.5,Noe Valley,2524,1999,1905,3,1273,,Sold,,,http://www.redfin.com/CA/San-Francisco/1261-Sanchez-St-94114/home/1760516,San Francisco MLS,482832,N,Y,37.7489277,-122.4290954
PAST SALE,March-9-2019,Single Family Residential,45 Glover St,San Francisco,CA,94109,5600000,4,3.5,Russian Hill,3225,1376,1910,47,1736,,Sold,,,http://www.redfin.com/CA/San-Francisco/45-Glover-St-94109/home/1707168,San Francisco MLS,480228,N,Y,37.7970761,-122.4160879
PAST SALE,February-12-2019,Single Family Residential,160 Los Palmos Dr,San Francisco,CA,94127,1550000,3,2.0,Miraloma Park,1403,2609,1960,72,1105,,Sold,,,http://www.redfin.com/CA/San-Francisco/160-Los-Palmos-Dr-94127/home/1254693,San Francisco MLS,480159,N,Y,37.7360614,-122.4479513
PAST SALE,January-30-2019,Single Family Residential,867 Foerster St,San Francisco,CA,94127,1875000,5,3.5,Miraloma Park,2966,2644,1984,85,632,,Sold,,,http://www.redfin.com/CA/San-Francisco/867-Foerster-St-94127/home/1263273,San Francisco MLS,478038,N,Y,37.7364668,-122.4474205
PAST SALE,March-29-2019,Single Family Residential,125 Curtis St,San Francisco,CA,94112,1500000,3,2.5,Crocker Amazon,1775,2996,1925,27,845,,Sold,,,http://www.redfin.com/CA/San-Francisco/125-Curtis-St-94112/home/796297,San Francisco MLS,481714,N,Y,37.7126283,-122.439226
PAST SALE,April-3-2019,Single Family Residential,193 Foote Ave,San Francisco,CA,94112,1530000,4,4.0,Outer Mission,2060,2077,1929,22,743,,Sold,,,http://www.redfin.com/CA/San-Francisco/193-Foote-Ave-94112/home/1880348,San Francisco MLS,481544,N,Y,37.7139556,-122.4466575
PAST SALE,April-8-2019,Single Family Residential,849 Paris St,San Francisco,CA,94112,1700000,5,3.0,Excelsior,1998,2504,1922,17,851,,Sold,,,http://www.redfin.com/CA/San-Francisco/849-Paris-St-94112/home/1232864,San Francisco MLS,481732,N,Y,37.7159635,-122.4389495
PAST SALE,April-8-2019,Single Family Residential,2324 Pacific Ave,San Francisco,CA,94115,14000000,8,8.5,Pacific Heights,11328,4903,1906,17,1236,,Sold,,,http://www.redfin.com/CA/San-Francisco/2324-Pacific-Ave-94115/home/566925,San Francisco MLS,483123,N,Y,37.793735,-122.433645
PAST SALE,March-25-2019,Single Family Residential,1525 Willard St,San Francisco,CA,94117,2375000,3,2.0,Parnassus/Ashbury Heights,2300,3000,1924,31,1033,,Sold,,,http://www.redfin.com/CA/San-Francisco/1525-Willard-St-94117/home/1905258,San Francisco MLS,480449,N,Y,37.7623419,-122.4542211
PAST SALE,February-26-2019,Single Family Residential,525 28th St,San Francisco,CA,94131,4200000,4,4.5,Noe Valley,3551,2848,1910,58,1183,,Sold,,,http://www.redfin.com/CA/San-Francisco/525-28th-St-94131/home/1592318,San Francisco MLS,477494,N,Y,37.7447179,-122.4341023
PAST SALE,March-18-2019,Single Family Residential,545 Liberty St,San Francisco,CA,94114,4100000,4,3.0,Eureka Valley/Dolore,3115,2850,1897,38,1316,,Sold,,,http://www.redfin.com/CA/San-Francisco/545-Liberty-St-94114/home/1878880,San Francisco MLS,481976,N,Y,37.7567534,-122.4334309
PAST SALE,March-22-2019,Single Family Residential,80 Wilmot St,San Francisco,CA,94115,3650000,3,2.5,Lower Pacific Height,,,1994,34,,,Sold,,,http://www.redfin.com/CA/San-Francisco/80-Wilmot-St-94115/home/1079007,San Francisco MLS,480194,N,Y,37.7876372,-122.4331323
PAST SALE,April-12-2019,Single Family Residential,125 Brompton Ave,San Francisco,CA,94131,1717125,3,2.0,Glen Park,1440,2495,1910,13,1192,,Sold,,,http://www.redfin.com/CA/San-Francisco/125-Brompton-Ave-94131/home/1520472,San Francisco MLS,482385,N,Y,37.733244,-122.434877
PAST SALE,April-19-2019,Single Family Residential,2385 Bush St,San Francisco,CA,94115,3637000,3,3.5,Lower Pacific Height,2928,,,6,1242,,Sold,,,http://www.redfin.com/CA/San-Francisco/2385-Bush-St-94115/home/1180946,San Francisco MLS,482003,N,Y,37.7864239,-122.436497
PAST SALE,April-19-2019,Single Family Residential,4135 21st St,San Francisco,CA,94114,2600000,3,3.0,Eureka Valley/Dolore,1823,2609,1960,6,1426,,Sold,,,http://www.redfin.com/CA/San-Francisco/4135-21st-St-94114/home/676965,San Francisco MLS,483238,N,Y,37.7557482,-122.4373538
PAST SALE,April-19-2019,Single Family Residential,631 Cayuga Ave,San Francisco,CA,94112,1515000,4,2.0,Mission Terrace,2060,2613,1936,6,735,,Sold,,,http://www.redfin.com/CA/San-Francisco/631-Cayuga-Ave-94112/home/1559877,San Francisco MLS,482204,N,Y,37.7280423,-122.4360078
PAST SALE,February-26-2019,Single Family Residential,394 Cresta Vista Dr,San Francisco,CA,94127,1525000,3,2.0,Miraloma Park,1250,3484,1959,58,1220,,Sold,,,http://www.redfin.com/CA/San-Francisco/394-Cresta-Vista-Dr-94127/home/1343722,San Francisco MLS,480748,N,Y,37.7359174,-122.4516557
PAST SALE,March-22-2019,Single Family Residential,183 Robinhood Dr,San Francisco,CA,94127,1715000,3,3.0,Sherwood Forest,1887,3824,1951,34,909,,Sold,,,http://www.redfin.com/CA/San-Francisco/183-Robinhood-Dr-94127/home/1596988,San Francisco MLS,480769,N,Y,37.7367417,-122.4546634
PAST SALE,February-8-2019,Single Family Residential,51 Avila St,San Francisco,CA,94123,5445000,4,3.5,Marina,3375,2500,1924,76,1613,,Sold,,,http://www.redfin.com/CA/San-Francisco/51-Avila-St-94123/home/979117,San Francisco MLS,480200,N,Y,37.8009447,-122.4406418
PAST SALE,March-22-2019,Single Family Residential,3039-3041 Baker St,San Francisco,CA,94123,3350000,4,4.0,Cow Hollow,,3162,1924,34,,,Sold,,,http://www.redfin.com/CA/San-Francisco/3039-Baker-St-94123/home/148750003,San Francisco MLS,480332,N,Y,37.7991782,-122.4462594
PAST SALE,March-4-2019,Single Family Residential,3430 Kirkham St,San Francisco,CA,94122,1700000,3,2.0,Outer Sunset,1987,2495,1937,52,856,,Sold,,,http://www.redfin.com/CA/San-Francisco/3430-Kirkham-St-94122/home/633769,San Francisco MLS,480842,N,Y,37.7591042,-122.4978228
PAST SALE,February-5-2019,Single Family Residential,210 Casitas Ave,San Francisco,CA,94127,3100000,5,5.0,Sherwood Forest,4315,6412,1931,79,718,,Sold,,,http://www.redfin.com/CA/San-Francisco/210-Casitas-Ave-94127/home/1395331,San Francisco MLS,476131,N,Y,37.7376334,-122.4606563
PAST SALE,February-8-2019,Single Family Residential,2 Allston Way,San Francisco,CA,94127,2121000,3,2.5,West Portal,,3371,1923,76,,,Sold,,,http://www.redfin.com/CA/San-Francisco/2-Allston-Way-94127/home/1156784,San Francisco MLS,480238,N,Y,37.7409435,-122.4616957
PAST SALE,March-12-2019,Single Family Residential,899 Urbano Dr,San Francisco,CA,94127,1815000,3,2.0,Ingleside Terrace,2647,5797,1923,44,686,,Sold,,,http://www.redfin.com/CA/San-Francisco/899-Urbano-Dr-94127/home/1769377,San Francisco MLS,480524,N,Y,37.7242626,-122.463509
PAST SALE,March-22-2019,Single Family Residential,1050 Monterey Blvd,San Francisco,CA,94127,1550000,3,2.0,Monterey Heights,1850,4159,1929,34,838,,Sold,,,http://www.redfin.com/CA/San-Francisco/1050-Monterey-Blvd-94127/home/695769,San Francisco MLS,480674,N,Y,37.7309139,-122.4599266
PAST SALE,April-3-2019,Single Family Residential,1001 Ulloa St,San Francisco,CA,94127,2810000,5,3.0,West Portal,2995,3563,1926,22,938,,Sold,,,http://www.redfin.com/CA/San-Francisco/1001-Ulloa-St-94127/home/1582049,San Francisco MLS,480360,N,Y,37.7412216,-122.4669585
PAST SALE,April-11-2019,Single Family Residential,1150 Holloway Ave,San Francisco,CA,94132,1950000,3,2.0,Ingleside Terrace,2910,5736,1923,14,670,,Sold,,,http://www.redfin.com/CA/San-Francisco/1150-Holloway-Ave-94132/home/815197,San Francisco MLS,481573,N,Y,37.7218109,-122.467843
PAST SALE,April-19-2019,Single Family Residential,115 Pacheco St,San Francisco,CA,94116,2000000,3,2.5,Forest Hill,2328,4987,1927,6,859,,Sold,,,http://www.redfin.com/CA/San-Francisco/115-Pacheco-St-94116/home/1201821,San Francisco MLS,481531,N,Y,37.7456308,-122.4618284
